Date,Open,High,Low,Close,Adj Close,Volume
3/27/2020,43.25,45.279999,42.310001,43.48,43.48,39791500
3/30/2020,44.169998,45.57,43.150002,44.52,44.52,33763900
3/31/2020,44.400002,45.169998,41.91,42.060001,42.060001,36723700
4/1/2020,40.549999,42.299999,39.330002,39.889999,39.889999,37452800
4/2/2020,39.790001,41.59,39.52,41.09,41.09,31457700
4/3/2020,40.970001,41.860001,40.549999,41.220001,41.220001,28522400
4/6/2020,43.349998,46.689999,43.34,46.369999,46.369999,37899100
4/7/2020,48.09,48.369999,46.040001,46.540001,46.540001,34646400
4/8/2020,47.080002,48.689999,46.799999,48.290001,48.290001,27694400
4/9/2020,49.299999,49.810001,45.349998,46.130001,46.130001,39840400
4/13/2020,44.900002,46.389999,44.389999,46.169998,46.169998,30449900
4/14/2020,47,48.380001,46.619999,47.619999,47.619999,25738000
4/15/2020,46.400002,46.66,45.639999,46.43,46.43,22389400
4/16/2020,47.02,47.200001,44.66,45.529999,45.529999,26589000
4/17/2020,46.779999,46.889999,44.849998,45.700001,45.700001,23388300
4/20/2020,44.52,45.080002,43.299999,43.400002,43.400002,30463300
4/21/2020,43,43.07,41.189999,41.41,41.41,32482200
4/22/2020,43.110001,44.200001,42.75,43.91,43.91,21398300
4/23/2020,43.82,44.720001,43.419998,43.77,43.77,22273100
4/24/2020,43.799999,44.32,42.98,44.16,44.16,16592800
4/27/2020,45,45.389999,44.580002,45.279999,45.279999,16667200
4/28/2020,46.209999,47.689999,45.279999,45.310001,45.310001,25234900
4/29/2020,46.580002,50.139999,46.330002,49.830002,49.830002,35743000
4/30/2020,49.48,49.580002,47.369999,47.889999,47.889999,28585400
5/1/2020,46.360001,46.919998,44.52,45.060001,45.060001,28194000
5/4/2020,44.189999,44.689999,43.610001,44.459999,44.459999,21377100
5/5/2020,45.450001,46.950001,45.110001,45.41,45.41,21007500
5/6/2020,46.07,47.119999,45.919998,46.080002,46.080002,22011900
5/7/2020,47.119999,47.5,46.34,46.59,46.59,16372100
5/8/2020,47.290001,48.459999,47.290001,48.25,48.25,17445000
5/11/2020,47.740002,48.73,47.439999,48.200001,48.200001,17353500
5/12/2020,48.52,48.560001,45.639999,45.689999,45.689999,26738900
5/13/2020,45.869999,45.880001,42.950001,43.529999,43.529999,35117500
5/14/2020,43.060001,45.779999,42.509998,45.73,45.73,27543500
5/15/2020,43.279999,44.779999,43.240002,44.41,44.41,28803900
5/18/2020,45.830002,46.150002,44.950001,45.919998,45.919998,20325900
5/19/2020,45.779999,46.23,45.02,45.119999,45.119999,17389500
5/20/2020,46.509998,47.040001,46.09,46.639999,46.639999,17876500
5/21/2020,46.5,46.57,44.759998,45.220001,45.220001,17445300
5/22/2020,45.150002,45.310001,44.240002,44.939999,44.939999,13385400
5/26/2020,46.220001,46.689999,45.450001,45.799999,45.799999,24303900
5/27/2020,45.950001,49.580002,43.900002,49.450001,49.450001,56071500
5/28/2020,48.700001,48.790001,46.07,46.470001,46.470001,38289300
5/29/2020,46.619999,48.02,46.209999,47.91,47.91,26354600
6/1/2020,47.490002,47.669998,46.32,46.34,46.34,21809100
6/2/2020,46.490002,46.849998,45.57,46.82,46.82,23035600
6/3/2020,48.040001,49.419998,47.450001,48.919998,48.919998,34662100
6/4/2020,48.860001,51.98,48.599998,51.220001,51.220001,34830800
6/5/2020,52.66,54.82,52.59,53.720001,53.720001,34110700
6/8/2020,54.5,54.639999,52.23,53.700001,53.700001,22850600
6/9/2020,52.650002,53.5,52.450001,53.150002,53.150002,17840800
6/10/2020,52.919998,53.299999,51.57,52.470001,52.470001,18766700
6/11/2020,50.419998,51.09,48.200001,48.52,48.52,29897600
6/12/2020,50.290001,50.48,47.360001,48.689999,48.689999,24293600
6/15/2020,47.360001,49.73,47.099998,49.240002,49.240002,18092300
6/16/2020,51.16,52.150002,49.860001,51.02,51.02,20987200
6/17/2020,51.299999,51.509998,50.540001,50.959999,50.959999,13905100
6/18/2020,50.5,51.040001,50.02,50.48,50.48,13220200
6/19/2020,51.16,52.75,50.75,50.830002,50.830002,28081500
6/22/2020,51.099998,51.400002,50.240002,51.150002,51.150002,15952200
6/23/2020,50.689999,50.889999,49.57,49.84,49.84,23194200
6/24/2020,49.650002,50.099998,48.02,48.290001,48.290001,19346500
6/25/2020,48.240002,49.310001,47.279999,49.189999,49.189999,14971900
6/26/2020,49.150002,49.349998,48.139999,48.490002,48.490002,16929700
6/29/2020,48.689999,49.150002,47.580002,49.150002,49.150002,24666200
6/30/2020,51.779999,52.470001,50.970001,51.52,51.52,47852100
7/1/2020,51.52,51.560001,49.610001,49.700001,49.700001,25218400
7/2/2020,50.5,50.75,49.48,49.830002,49.830002,18562400
7/6/2020,50.75,51.43,50.48,50.919998,50.919998,16321000
7/7/2020,50.52,50.59,49.009998,49.09,49.09,19797900
7/8/2020,49.560001,49.75,48.959999,49.709999,49.709999,15311900
7/9/2020,49.849998,50.389999,48.73,49.98,49.98,18510800
7/10/2020,50.009998,50.709999,49.400002,50.700001,50.700001,18128700
7/13/2020,51.310001,52.279999,49.380001,49.459999,49.459999,23296400
7/14/2020,49.080002,49.790001,47.950001,49.709999,49.709999,17455200
7/15/2020,50.209999,50.650002,49.41,50.509998,50.509998,15911400
7/16/2020,49.82,50.290001,49.23,50.099998,50.099998,14014000
7/17/2020,50.310001,50.43,49.279999,49.470001,49.470001,15003800
7/20/2020,49.66,51.32,49.540001,51.209999,51.209999,17604200
7/21/2020,51.619999,52.66,51.23,51.52,51.52,16665400
7/22/2020,51.580002,51.77,51.02,51.650002,51.650002,11412600
7/23/2020,51.740002,54.200001,51.57,52.639999,52.639999,33399900
7/24/2020,51.279999,51.279999,49.650002,50.02,50.02,25348000
7/27/2020,50.599998,51.709999,50.490002,51.59,51.59,15991700
7/28/2020,51.259998,51.27,50.040001,50.09,50.09,15614400
7/29/2020,50.389999,50.630001,49.779999,50.389999,50.389999,14714800
7/30/2020,49.740002,50.75,49.110001,50.740002,50.740002,17644300
7/31/2020,50.619999,50.700001,49.259998,50.060001,50.060001,17436400
8/3/2020,50.389999,50.619999,50.02,50.389999,50.389999,15143500
8/4/2020,50.349998,51.48,50.290001,51.299999,51.299999,15753100
8/5/2020,51.09,51.279999,50.630001,51.049999,51.049999,13260600
8/6/2020,50,50.029999,48.32,48.700001,48.700001,32204700
8/7/2020,48.689999,49.18,48.049999,48.75,48.75,13637300
8/10/2020,48.849998,49.669998,48.27,49.150002,49.150002,15881500
8/11/2020,49.009998,49.740002,47.630001,47.759998,47.759998,21532800
8/12/2020,48.380001,48.73,47.66,48.48,48.48,17224400
8/13/2020,47.16,47.23,45.93,46.139999,46.139999,41051700
8/14/2020,45.599998,46.080002,45.299999,45.599998,45.599998,18167300
8/17/2020,45.900002,45.939999,44.740002,45.220001,45.220001,17303800
8/18/2020,45.060001,45.16,44.049999,44.400002,44.400002,20118100
8/19/2020,44.299999,44.700001,43.849998,44.049999,44.049999,19455500
8/20/2020,42.68,43.66,42.25,42.990002,42.990002,22445400
8/21/2020,42.849998,43.060001,42.400002,42.66,42.66,15476700
8/24/2020,43.119999,43.82,42.889999,43.759998,43.759998,14972200
8/25/2020,44.880001,45.540001,44.599998,45.099998,45.099998,21524900
8/26/2020,45.599998,45.82,44.689999,44.959999,44.959999,15328900
8/27/2020,44.549999,44.830002,43.669998,44.619999,44.619999,13777000
8/28/2020,44.619999,45.790001,44.41,45.689999,45.689999,13459100
8/31/2020,45.349998,45.82,45.139999,45.509998,45.509998,13241800
9/1/2020,45.529999,45.790001,45.060001,45.759998,45.759998,14114200
9/2/2020,46.43,48.189999,46.279999,47.830002,47.830002,24636200
9/3/2020,47.759998,47.830002,45.849998,46.330002,46.330002,20632800
9/4/2020,46.189999,46.950001,44.889999,46.48,46.48,20608500
9/8/2020,44.990002,46.23,44.529999,45.029999,45.029999,20893600
9/9/2020,45.880001,45.880001,44.450001,45.150002,45.150002,17529100
9/10/2020,45.470001,45.950001,44.689999,44.869999,44.869999,13744700
9/11/2020,45.23,46.48,44.959999,46.09,46.09,18365500
9/14/2020,48.349998,49.59,48.299999,49.029999,49.029999,26715400
9/15/2020,49.369999,49.66,48.700001,49.049999,49.049999,14456000
9/16/2020,49.110001,51.220001,48.959999,50.209999,50.209999,23542200
9/17/2020,49.16,51.290001,48.810001,50.98,50.98,20556900
9/18/2020,51.5,52.169998,49.970001,50.740002,50.740002,25549000
9/21/2020,49.610001,49.779999,47.889999,49.150002,49.150002,21257500
9/22/2020,49.27,49.779999,48.779999,49.700001,49.700001,10845300
9/23/2020,51.009998,51.610001,49.639999,49.849998,49.849998,19160000
9/24/2020,49.52,50.360001,49.09,49.470001,49.470001,13842300
9/25/2020,49.57,49.599998,47.779999,49.139999,49.139999,17773000
9/28/2020,49.639999,49.77,48.130001,49.720001,49.720001,18904000
9/29/2020,49.709999,51.380001,49.59,50.709999,50.709999,35676600
9/30/2020,48.950001,49.27,46.830002,46.959999,46.959999,55392600
10/1/2020,47.099998,48.18,47.049999,47.919998,47.919998,24460000
10/2/2020,46.860001,47.52,46.5,46.549999,46.549999,20277500
10/5/2020,46.990002,47.73,46.98,47.599998,47.599998,16933700
10/6/2020,47.549999,48.830002,47.220001,47.32,47.32,17926200
10/7/2020,48.419998,49,48.32,48.41,48.41,13889300
10/8/2020,48.990002,50,48.220001,49.900002,49.900002,14569700
10/9/2020,50.240002,50.599998,49.310001,49.889999,49.889999,13933700
10/12/2020,50.580002,50.84,50.080002,50.68,50.68,13108800
10/13/2020,51.889999,52.75,51.639999,51.849998,51.849998,22179400
10/14/2020,52.009998,52.25,51.349998,51.630001,51.630001,15905600
10/15/2020,50.759998,51.970001,50.32,51.939999,51.939999,14000600
10/16/2020,52.150002,52.549999,51.580002,51.610001,51.610001,14225400
10/19/2020,51.970001,54,51.299999,52.630001,52.630001,24176200
10/20/2020,53.139999,54.200001,52.75,53.529999,53.529999,17343400
10/21/2020,53.299999,53.959999,53.18,53.310001,53.310001,12922200
10/22/2020,53.290001,54.849998,53.080002,54.380001,54.380001,14842600
10/23/2020,54.09,54.119999,52.380001,52.849998,52.849998,16175700
10/26/2020,52.400002,52.889999,51.400002,52.139999,52.139999,11678900
10/27/2020,52.029999,52.32,51.540001,51.959999,51.959999,8964800
10/28/2020,50.75,50.849998,49.57,50,50,15463700
10/29/2020,49.709999,50.91,49.380001,50.48,50.48,12420700
10/30/2020,50.009998,50.43,49.299999,50.34,50.34,15955700
11/2/2020,50.790001,50.790001,49.439999,49.709999,49.709999,13103200
11/3/2020,50.130001,51.59,50.009998,51.080002,51.080002,11429500
11/4/2020,51.73,52.5,50.93,51.959999,51.959999,13554400
11/5/2020,52.880001,54.779999,52.779999,54.580002,54.580002,16373600
11/6/2020,54.459999,55.41,54.330002,55.16,55.16,13922600
11/9/2020,56.470001,57.830002,55.869999,55.959999,55.959999,20968500
11/10/2020,55.130001,55.939999,54.360001,55.41,55.41,14502100
11/11/2020,55.970001,56.939999,55.849998,56.360001,56.360001,14765500
11/12/2020,56.599998,56.970001,55.889999,56.25,56.25,13785600
11/13/2020,56.790001,58.189999,56.75,57.93,57.93,14318800
11/16/2020,59.720001,61.91,59.610001,61.860001,61.860001,31397200
11/17/2020,61,62.200001,60.299999,61.990002,61.990002,17703600
11/18/2020,61.5,62.040001,60.630001,60.740002,60.740002,18734500
11/19/2020,60.040001,61.970001,59.650002,61.830002,61.830002,12723600
11/20/2020,61.48,62.639999,61.349998,61.400002,61.400002,14115700
11/23/2020,62.610001,64.5,62.299999,64.18,64.18,20612600
11/24/2020,64.290001,64.290001,62.889999,63.950001,63.950001,22625600
11/25/2020,63.66,64,62.610001,63.43,63.43,12468500
11/27/2020,63.830002,64.800003,63.509998,64.230003,64.230003,7500200
11/30/2020,64.559998,65.25,63.580002,64.089996,64.089996,20373500
12/1/2020,65.25,68.629997,65.139999,67.080002,67.080002,36204100
12/2/2020,67.610001,69.389999,66.760002,69.110001,69.110001,23298900
12/3/2020,70.57,71.120003,69.550003,69.900002,69.900002,20462300
12/4/2020,71.110001,74.379997,70.540001,73.339996,73.339996,31860800
12/7/2020,73.290001,73.400002,71.480003,72.610001,72.610001,17460600
12/8/2020,72,73.550003,71.980003,73.190002,73.190002,15431100
12/9/2020,73.150002,74.610001,70.779999,71.410004,71.410004,18367300
12/10/2020,70.139999,71.949997,69.669998,71.279999,71.279999,15610600
12/11/2020,70.379997,71.32,69.400002,70.529999,70.529999,15322000
12/14/2020,71.400002,72.199997,71.029999,71.540001,71.540001,13573700
12/15/2020,72.809998,73.370003,72.330002,73.150002,73.150002,11545400
12/16/2020,74.190002,74.349998,72.629997,72.989998,72.989998,13889300
12/17/2020,73.589996,73.739998,71.760002,72.260002,72.260002,11988100
12/18/2020,72.699997,73.449997,71.059998,71.459999,71.459999,23912500
12/21/2020,70,71.699997,69.650002,71.470001,71.470001,13180400
12/22/2020,71.510002,71.779999,69.760002,70.440002,70.440002,11154200
12/23/2020,70.470001,71.059998,69.889999,69.949997,69.949997,8524000
12/24/2020,70.309998,70.639999,69.760002,70.580002,70.580002,4848500
12/28/2020,71.790001,72.110001,70.470001,70.660004,70.660004,8345200
12/29/2020,71,71.400002,69.139999,70.209999,70.209999,9403400
12/30/2020,70.419998,72.650002,70.370003,71.919998,71.919998,11620300
12/31/2020,72.389999,75.68,72.370003,75.18,75.18,23214500
1/4/2021,76.480003,78.610001,73.75,74.050003,74.050003,31155900
1/5/2021,76.440002,78.690002,76.029999,77.260002,77.260002,33418200
1/6/2021,76.360001,78.449997,76.099998,77.110001,77.110001,22390900
1/7/2021,78.059998,80.080002,78.050003,79.110001,79.110001,27945300
1/8/2021,82.540001,84.160004,77.07,77.419998,77.419998,51272100
1/11/2021,76.589996,79.790001,76.419998,78.669998,78.669998,19941600
1/12/2021,79.190002,79.620003,77.82,79.459999,79.459999,18231000
1/13/2021,78.949997,80.389999,78.550003,79.910004,79.910004,15067700
1/14/2021,80.010002,82.209999,79.550003,81.300003,81.300003,17639300
1/15/2021,80.919998,81.879997,79.529999,80.720001,80.720001,14322600
1/19/2021,81.279999,85.68,80.959999,85.5,85.5,26602500
1/20/2021,85.93,87.25,83.230003,83.5,83.5,21191700
1/21/2021,84,85.099998,82.510002,85.010002,85.010002,14703300
1/22/2021,84.080002,84.949997,82.230003,82.279999,82.279999,14229500
1/25/2021,83.190002,83.5,78.889999,81.279999,81.279999,19283400
1/26/2021,81.790001,81.980003,79.010002,79.510002,79.510002,13678000
1/27/2021,77.330002,77.589996,74.330002,75.089996,75.089996,23513400
1/28/2021,77.199997,80.18,76.720001,78.389999,78.389999,18351400
1/29/2021,78.360001,79.370003,76.949997,78.269997,78.269997,17927000
2/1/2021,79.589996,81.089996,78.480003,80.43,80.43,14900200
2/2/2021,81.260002,81.739998,79.919998,81.620003,81.620003,11386200
2/3/2021,81.849998,82.529999,78.970001,79.110001,79.110001,17456000
2/4/2021,79.150002,81.339996,78.959999,81.25,81.25,11519700
2/5/2021,81.769997,82.019997,80.720001,81.099998,81.099998,10950900
2/8/2021,81.75,84.059998,81.639999,84.010002,84.010002,12394800
2/9/2021,83.349998,84,82.400002,83.32,83.32,10362500
2/10/2021,84,84.440002,81.300003,82.349998,82.349998,9869200
2/11/2021,84.400002,86.639999,84,86.480003,86.480003,18710100
2/12/2021,86.110001,88.32,85.459999,88.010002,88.010002,14256200
2/16/2021,89.220001,89.220001,87.050003,87.739998,87.739998,10312800
2/17/2021,86.690002,87.32,84.900002,86.050003,86.050003,10033500
2/18/2021,86.519997,88.730003,85.959999,88.540001,88.540001,19168100
2/19/2021,90.25,91.489998,88.809998,90.959999,90.959999,21886500
2/22/2021,89.529999,90.519997,85.919998,86.279999,86.279999,16077000
2/23/2021,85.239998,89.199997,82.440002,88.230003,88.230003,23203200
2/24/2021,88.300003,92.599998,87.730003,92.519997,92.519997,21281700
2/25/2021,91.519997,93.099998,87.580002,88.120003,88.120003,22546200
2/26/2021,89.739998,92.940002,88.230003,91.529999,91.529999,22778300
3/1/2021,94.540001,95.75,92.57,94.760002,94.760002,19844300
3/2/2021,93.57,94.900002,90.900002,91.089996,91.089996,18656600
3/3/2021,90.57,93.330002,88.389999,89.110001,89.110001,26389800
3/4/2021,88.809998,89.75,81.849998,84.330002,84.330002,31852900
3/5/2021,87.529999,89.32,83.300003,88.93,88.93,30305500
3/8/2021,88.57,89.720001,84.870003,85.050003,85.050003,22688300
3/9/2021,88,90.18,86.300003,89.300003,89.300003,22286300
3/10/2021,90.010002,90.010002,85.309998,85.410004,85.410004,23383100
3/11/2021,87.589996,90.220001,86.849998,89.309998,89.309998,20698400
3/12/2021,87.57,88.529999,86.43,87.769997,87.769997,21901300
3/15/2021,87.769997,88.910004,86.139999,88.849998,88.849998,16144400
3/16/2021,90.75,94.68,90.110001,91.43,91.43,28307100
3/17/2021,91.330002,95.489998,90.099998,94.760002,94.760002,24514200
3/18/2021,92.970001,93.480003,89.410004,89.82,89.82,27081000
3/19/2021,90.360001,92.68,88.889999,90.510002,90.510002,24951500
3/22/2021,91.830002,92.419998,89.650002,91.279999,91.279999,19365800
3/23/2021,91.019997,91.269997,84.970001,85.400002,85.400002,32043800
3/24/2021,87.059998,87.150002,82.919998,83,83,24232800
3/25/2021,81.139999,84.43,80.489998,84.089996,84.089996,23630200
3/26/2021,84.160004,88.139999,84.029999,87.989998,87.989998,23932600
